"","Param_vals","RMSE","Acc"
"1",1,49.8402856534053,0.523
"2",2,35.1088813805339,0.52
"3",3,28.4584365050441,0.53
"4",4,24.1065839394639,0.547
"5",5,21.486395833198,0.546
"6",6,19.6366760083844,0.56
"7",7,18.1152367424378,0.558
"8",8,17.0069477835316,0.554
"9",9,15.2649303944863,0.56
"10",10,15.0731428517911,0.576
"11",11,13.9994686193865,0.562
"12",12,13.1320693736993,0.567
"13",13,12.9282437401372,0.577
"14",14,12.3352276356466,0.558
"15",15,11.8187990252921,0.591
"16",16,11.7101548297961,0.599
"17",17,11.1861582985716,0.581
"18",18,10.9278399338054,0.591
"19",19,10.1182189639064,0.617
"20",20,9.99867277090692,0.606
"21",21,9.61060572286198,0.602
"22",22,9.42438392378056,0.599
"23",23,8.82053283969574,0.597
"24",24,9.05944765914407,0.599
"25",25,8.65052295624363,0.61
"26",26,8.496591415119,0.631
"27",27,8.33938249630536,0.624
"28",28,8.04162579479978,0.638
"29",29,7.72113966339382,0.623
"30",30,7.5832905545936,0.619
"31",31,7.53426169033475,0.635
"32",32,7.19766727858716,0.633
"33",33,7.15514066614349,0.632
"34",34,6.96173942872573,0.644
"35",35,6.86735770391283,0.646
"36",36,6.4621518336058,0.644
"37",37,6.5760254805373,0.648
"38",38,6.34357944128212,0.632
"39",39,6.24889406627308,0.662
"40",40,6.23515097971506,0.648
"41",41,5.87352446346324,0.656
"42",42,5.76732319095671,0.659
"43",43,5.88739919400841,0.646
"44",44,5.65194650393083,0.668
"45",45,5.58311068493019,0.674
"46",46,5.41079551539842,0.645
"47",47,5.39390293666524,0.675
"48",48,5.18806147617643,0.677
"49",49,5.09392032934715,0.68
"50",50,5.0104242030666,0.719
"51",51,5.01043350181544,0.701
"52",52,4.74384124649341,0.701
"53",53,4.62279082656854,0.708
"54",54,4.57611344287929,0.688
"55",55,4.44755040080746,0.724
"56",56,4.52113548567113,0.714
"57",57,4.1954140412104,0.742
"58",58,4.18352222181224,0.734
"59",59,4.14145056509858,0.702
"60",60,4.08463587883093,0.747
"61",61,3.95223295257169,0.747
"62",62,3.83824451993732,0.741
"63",63,3.8258544562239,0.744
"64",64,3.57256862843218,0.755
"65",65,3.73635338172079,0.75
"66",66,3.5463556221412,0.755
"67",67,3.48635253352318,0.762
"68",68,3.48164017996232,0.77
"69",69,3.26644871891495,0.776
"70",70,3.20316994754241,0.786
"71",71,3.22851845509678,0.789
"72",72,3.12866542107384,0.777
"73",73,3.04331723018988,0.796
"74",74,2.89027850753303,0.79
"75",75,2.93920254834639,0.801
"76",76,2.80097711699377,0.815
"77",77,2.75669447285274,0.814
"78",78,2.67624681733079,0.823
"79",79,2.59759457117473,0.819
"80",80,2.49788370491961,0.841
"81",81,2.44266636675054,0.845
"82",82,2.30781187995807,0.87
"83",83,2.2570724861886,0.855
"84",84,2.17294937716605,0.884
"85",85,2.12401967412931,0.869
"86",86,2.01649353659471,0.886
"87",87,1.94229649195357,0.9
"88",88,1.86325613135549,0.896
"89",89,1.72289327823475,0.922
"90",90,1.6667082720944,0.934
"91",91,1.56757616622715,0.934
"92",92,1.49496406015615,0.946
"93",93,1.34206703974785,0.977
"94",94,1.25967823583979,0.968
"95",95,1.15810716970422,0.977
"96",96,1.03403889779595,0.995
"97",97,0.868415364270916,1
"98",98,0.709443309515487,1
"99",99,0.50186531961165,1
"100",100,0,1
